League_Code,Year,Team_Name,Team_Link,Name,Age,B,T,Ht,Wt,DoB,Birthplace,Stint,From,To,id
JPPL,1968,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=30abd387,Marty Keough,34,L,L,"6' 0""",180,"Apr 14, 1934","Oakland, CA, US",,,,keough001ric
JPPL,2012,Hokkaido Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=713c7b45,Bobby Keppel,30,R,R,"6' 5""",215,"Jun 11, 1982","St. Louis, MO, US",,2012-04-03,2012-04-10,keppel001rob
JPPL,1983,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=4494b26d,Isamu Kida,29,L,L,"5' 11""",165,"Jun 7, 1954","Yokohama, Kanagawa, JP",,,,kida--000isa
JPCL,1996,Yokohama Bay Stars,https://www.baseball-reference.com/register/team.cgi?id=446ea3d9,Shoichi Kida,20,R,R,"5' 11""",190,"May 19, 1976","Kawasaki, Kanagawa, JP",,,,kida--000sho
JPPL,2010,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=1fe0b9dd,Go Kida,30,L,R,"6' 0""",187,"Oct 25, 1979","Fukuoka, Fukuoka, JP",,2010-05-22,2010-10-01,kida--001go-
JPPL,2012,Hokkaido Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=713c7b45,Masao Kida,43,R,R,"6' 3""",210,"Sep 12, 1968","Kokubunji, Tokyo, JP",,2012-04-03,2012-04-03,kida--001mas
JPCL,1991,Hanshin Tigers,https://www.baseball-reference.com/register/team.cgi?id=bcc36e2c,Katsuhiko Kido,30,R,R,"5' 10""",200,"Feb 1, 1961","Sakai, Osaka, JP",,,,kido--000kat
JPPL,1960,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=280cbd44,Norifumi Kido,21,R,R,"6' 0""",165,"Mar 5, 1939","Kita-Kyushu, Fukuoka, JP",,,,kido--000nor
JPCL,1959,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=68465a6c,Yoshinori Kido,22,R,R,"5' 7""",154,"Sep 18, 1936","Kakogawa, Hyogo, JP",,,,kido--000yos
JPPL,2017,Fukuoka Softbank Hawks,https://www.baseball-reference.com/register/team.cgi?id=3252241f,Ryuma Kidokoro,31,L,R,"5' 10""",163,"Sep 24, 1985","Hoi-gun, Aichi, JP",,2017-04-04,2017-10-06,kidoko001ryu
JPPL,1957,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=dbf402af,Chusuke Kizuka,33,R,R,"5' 7""",132,"Apr 23, 1924","Karatsu, Saga, JP",,,,kiduka000tad
JPPL,1953,Mainichi Orions,https://www.baseball-reference.com/register/team.cgi?id=a5cb178f,Leo Kiely,23,L,L,"6' 2""",180,"Nov 30, 1929","Hoboken, NJ, US",,,,kiely-001leo
JPPL,1960,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=40a11a41,Hiroyoshi Kigoro,23,R,R,"5' 4""",143,"Jan 2, 1937","Yamaguchi, JP",,,,kigoro000hir
JPPL,1965,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=4bbc3f27,Yoshitaka Kihara,22,R,R,"6' 0""",162,"Jul 12, 1942","Wakayama, JP",,,,kihara000yos
JPPL,1956,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=ea3752cc,Akiho Kikuchi,18,R,R,"5' 9""",145,"Sep 1, 1937","Ehime, JP",,,,kikuch000aki
JPPL,1960,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=280cbd44,Hideyuki Kikuchi,19,R,R,"5' 11""",156,"Sep 7, 1940","Sendai, Miyagi, JP",,,,kikuch000hid
JPCL,1953,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=686c9ad8,Hirohito Kikuchi,18,R,R,"5' 10""",151,"Aug 27, 1934","Hiroshima, JP",,,,kikuch000hir
JPCL,1985,Yokohama Taiyo Whales,https://www.baseball-reference.com/register/team.cgi?id=e7331faa,Kyoichi Kikuchi,30,R,R,"5' 10""",176,"Dec 26, 1954","Edozaki-cho, Ibaraki, JP",,,,kikuch000kyo
JPPL,2023,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=01f006b5,Riku Kikuchi,23,L,R,"6' 0""",205,"Jun 13, 2000",,,,,kikuch000rik
JPCL,2014,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=4c866536,Ryosuke Kikuchi,24,R,R,"5' 7""",152,"Mar 11, 1990","Higashiyamato, JP",,2014-03-28,2014-10-06,kikuch000ryo
JPCL,2023,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=62d8919a,Taiki Kikuchi,24,L,R,"6' 1""",196,"Jun 2, 1999",,,,,kikuch000tai
JPCL,1958,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=9f361dea,Takekazu Kikuchi,20,R,R,"5' 8""",147,"Apr 2, 1938","Miyazaki, JP",,,,kikuch000tak
JPPL,2017,Saitama Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=7b937909,Yusei Kikuchi,26,L,L,"6' 0""",210,"Jun 17, 1991","Morioka, Iwate, JP",,2017-03-31,2017-10-03,kikuch000yus
JPPL,2009,Hokkaido Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=607fc99b,Kazumasa Kikuchi,27,R,R,"5' 10""",163,"Jun 27, 1982","Takasaki, Gunma, JP",,,,kikuch001kaz
JPCL,2007,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=16498b57,Masanori Kikuchi,22,L,L,"5' 9""",180,"Sep 9, 1984","Fuji, Shizuoka, JP",,,,kikuch001mas
JPPL,2006,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=9600bb21,Tsuyoshi Kikuchihara,31,L,L,"6' 1""",198,"Mar 7, 1975","Sagamihara, Kanagawa, JP",,,,kikuch001tsu
JPPL,2017,Tohoku Rakuten Golden Eagles,https://www.baseball-reference.com/register/team.cgi?id=b2390485,Yasunori Kikuchi,27,L,R,"5' 11""",176,"Sep 18, 1989","Kuji-gun, Ibarakii, JP",,2017-06-23,2017-08-15,kikuch001yas
JPPL,1971,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=df53c3e2,Shojiro Kikukawa,26,R,R,"5' 8""",150,"Feb 7, 1945","Nagasaki, JP",,,,kikuka000sho
JPCL,2017,Yakult Swallows,https://www.baseball-reference.com/register/team.cgi?id=ca399d6a,Ryusuke Kikusawa,29,R,R,"6' 0""",187,"May 16, 1988",JP,,2017-09-12,2017-09-23,kikusa000ryu
JPCL,2023,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=62d8919a,Hirokazu Kikuta,21,R,R,"5' 11""",207,"Jul 23, 2001",,,,,kikuta000hir
JPPL,2012,Fukuoka Softbank Hawks,https://www.baseball-reference.com/register/team.cgi?id=968d0cf4,Mu-Young Kim,26,R,R,"5' 11""",176,"Nov 22, 1985",JP,,2012-04-03,2012-09-06,kim---001mu-
JPPL,2010,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=f945fefb,Tae-Kyun Kim,28,R,R,"6' 0""",220,"May 29, 1982",,,2010-03-20,2010-10-01,kim---001tae
JPCL,1980,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=29ab8e1d,Tatsuhiko Kimata,35,R,R,"5' 8""",165,"Jul 7, 1944","Okazaki, Aichi, JP",,,,kimata000tat
JPCL,1991,Yakult Swallows,https://www.baseball-reference.com/register/team.cgi?id=980ff470,Takayoshi Kiminami,32,L,R,"6' 0""",191,"Jul 20, 1958","Kumagai, Saitama, JP",,,,kimina000tak
JPPL,1957,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=dbf402af,Kenichi Kimino,22,R,R,"5' 9""",162,"Jul 10, 1934","Shiga, JP",,,,kimino000ken
JPCL,1980,Hiroshima Toyo Carp,https://www.baseball-reference.com/register/team.cgi?id=72cc95ee,Shigemi Kimoto,26,R,R,"6' 0""",187,"Apr 7, 1954","Tokuyama, Yamaguchi, JP",,,,kimoto000shi
JPPL,2006,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=df36d61c,Kuniyuki Kimoto,27,L,R,"6' 0""",187,"Oct 7, 1978","Kyoto, Kyoto, JP",,,,kimoto001kun
JPPL,1960,Toei Flyers,https://www.baseball-reference.com/register/team.cgi?id=3288ebc0,Gunji Kimura,21,R,R,"5' 8""",147,"Jul 7, 1938","Ehime, JP",,,,kimura000gun
JPPL,1983,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=83722a4a,Hiroshi Kimura,29,R,R,"6' 0""",178,"Aug 17, 1953","Minami Takai-gun, Nagasaki, JP",,,,kimura000hir
JPPL,1962,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=7c2d4831,Hisashi Kimura,23,R,R,"5' 10""",162,"Nov 4, 1938","Gunma, JP",,,,kimura000his
JPPL,1960,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=f97e3d98,Katsuo Kimura,21,R,R,"5' 10""",170,"Apr 25, 1939","Gifu, JP",,,,kimura000kat
JPPL,1992,Fukuoka Daiei Hawks,https://www.baseball-reference.com/register/team.cgi?id=1358e13b,Keiji Kimura,26,R,R,"5' 10""",156,"Aug 30, 1965","Kadoma, Osaka, JP",,,,kimura000kei
JPPL,1957,Daiei Unions,https://www.baseball-reference.com/register/team.cgi?id=62742bea,Sachio Kimura,21,R,R,"5' 8""",151,"Jun 29, 1936","Kyoto, JP",,,,kimura000sac
JPCL,1953,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=686c9ad8,Shunichi Kimura,18,R,R,"5' 6""",138,"Dec 15, 1934","Osaka, JP",,,,kimura000shu
JPPL,1960,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=27047327,Tamotsu Kimura,25,R,R,"5' 9""",165,"Sep 24, 1934","Osaka, JP",,,,kimura000tam
JPPL,1950,Tokyu Flyers,https://www.baseball-reference.com/register/team.cgi?id=e799084c,Tomio Kimura,18,R,R,"5' 8""",140,"Jan 2, 1932","Ishikawa, JP",,,,kimura000tom
JPPL,1957,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=dbf402af,Tsutomu Kimura,36,R,R,"5' 7""",140,"Jan 12, 1921","Wakayama, JP",,,,kimura000tsu
JPCL,1951,Taiyo Whales,https://www.baseball-reference.com/register/team.cgi?id=b37c51b7,Yasuhisa Kimura,27,R,R,"5' 7""",132,"May 29, 1924","Aichi, JP",,,,kimura000yas
JPPL,2012,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=626f05b6,Yuta Kimura,27,L,L,"6' 2""",187,"May 21, 1985","Kazuno, Akita, JP",,2012-04-19,2012-05-08,kimura000yut
JPPL,2017,Saitama Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=7b937909,Fumikazu Kimura,28,R,R,"5' 11""",180,"Sep 13, 1988","Tokyo, JP",,2017-03-31,2017-10-05,kimura001fum
JPCL,1954,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=7a19c0ab,Hiroshi Kimura,21,L,L,"5' 8""",136,"Mar 18, 1933","Aichi, JP",,,,kimura001hir
JPPL,2008,Tohoku Rakuten Golden Eagles,https://www.baseball-reference.com/register/team.cgi?id=bf9cd6c5,Kazuyoshi Kimura,30,R,R,"5' 8""",165,"Oct 5, 1977","Kita Koma-gun, Yamanashi, JP",,,,kimura001kaz
JPPL,2001,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=9796ff4f,Masahiro Kimura,26,R,R,"6' 4""",191,"Aug 16, 1974","Tokyo, JP",,,,kimura001mas
JPCL,2000,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=7db7400a,Ryuji Kimura,29,R,R,"5' 8""",170,"Sep 1, 1970","Nagoya, Aichi, JP",,,,kimura001ryu
JPPL,1998,Fukuoka Daiei Hawks,https://www.baseball-reference.com/register/team.cgi?id=b214ae64,Shigeru Kimura,22,R,R,"5' 11""",170,"Nov 8, 1975","Ichikawa, Chiba, JP",,,,kimura001shi
JPPL,2017,Saitama Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=7b937909,Shogo Kimura,37,L,R,"6' 0""",165,"Apr 16, 1980","Osaka, Osaka, JP",,2017-06-08,2017-06-23,kimura001sho
JPPL,1992,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=91d1abc0,Takuya Kimura,20,S,R,"5' 8""",165,"Apr 15, 1972","Miyagaki-gun, Miyazaki, JP",,,,kimura001tak
JPCL,1955,Osaka Tigers,https://www.baseball-reference.com/register/team.cgi?id=aeb1d974,Kazuo Kimura,24,R,R,"5' 5""",147,"Oct 4, 1930","Gunma, JP",,,,kimura002kaz
JPCL,2009,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=525c55e6,Shota Kimura,23,R,R,"5' 10""",170,"May 24, 1986","Ichinoseki, Iwate, JP",,,,kimura002sho
JPPL,1971,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=208ad596,Takaomi Kimura,25,R,R,"5' 9""",185,"May 10, 1946","Osaka, JP",,,,kimura002tak
JPPL,1983,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=4494b26d,Takashi Kimura,24,S,R,"6' 2""",182,"Sep 18, 1958","Higashi Osaka, Osaka, JP",,,,kimura003tak
JPCL,2023,Hanshin Tigers,https://www.baseball-reference.com/register/team.cgi?id=6de2eb93,Seiya Kinami,29,L,R,"5' 10""",176,"Jun 15, 1994",,,,,kinami000sei
JPPL,1968,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=63cee921,Akiyo Kinjo,22,L,L,"5' 10""",162,"Aug 13, 1945","Osaka, JP",,,,kinjo-000aki
JPPL,1985,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=efc73538,Hirokazu Kinjo,23,R,R,"6' 1""",182,"Apr 20, 1962","Kunigashira-gun, Okinawa, JP",,,,kinjo-000hir
JPPL,1952,Tokyu Flyers,https://www.baseball-reference.com/register/team.cgi?id=b0bb9e56,Masao Kinjo,26,R,R,"5' 8""",143,"Oct 30, 1925","Motobu-machi, Okinawa, JP",,,,kinjo-000mas
JPCL,2008,Yokohama Bay Stars,https://www.baseball-reference.com/register/team.cgi?id=eba0fdad,Tatsuhiko Kinjo,31,S,R,"5' 10""",187,"Jul 27, 1976","Osaka, Osaka, JP",,,,kinjoh001tat
JPCL,2004,Hanshin Tigers,https://www.baseball-reference.com/register/team.cgi?id=9f653f97,Mike Kinkade,31,R,R,"6' 1""",210,"May 6, 1973","Livonia, MI, US",,,,kinkad001mic
JPPL,2008,Saitama Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=defbb172,Matt Kinney,31,R,R,"6' 5""",220,"Dec 16, 1976","Bangor, ME, US",,,,kinney001mat
JPPL,1992,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=c07312e5,Fuminobu Kinoshita,25,L,L,"5' 10""",191,"Sep 4, 1966","Suita, Osaka, JP",,,,kinosh000fum
JPPL,1954,Daiei Stars,https://www.baseball-reference.com/register/team.cgi?id=be35e49a,Ikuhiko Kinoshita,22,R,R,"5' 8""",151,"Dec 7, 1931","Gifu, JP",,,,kinosh000iku
JPPL,1952,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=9f753c59,Isamu Kinoshita,32,R,R,"5' 8""",150,"Apr 10, 1920","Yonago, Tottori, JP",,,,kinosh000isa
JPCL,1963,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=5bbf6a58,Kyozo Kinoshita,26,L,L,"5' 6""",132,"Dec 1, 1936","Hiroshima, Hiroshima, JP",,,,kinosh000kyo
JPCL,2023,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=f6f7e797,Takuya Kinoshita,31,R,R,"6' 0""",202,"Dec 18, 1991",JP,,,,kinosh000tak
JPCL,1954,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=7a19c0ab,Teiichi Kinoshita,35,R,R,"5' 9""",150,"Mar 20, 1919","Shizuoka, JP",,,,kinosh000tei
JPCL,1980,Hiroshima Toyo Carp,https://www.baseball-reference.com/register/team.cgi?id=72cc95ee,Tomio Kinoshita,29,R,R,"6' 0""",180,"May 7, 1951","Kita Kurashiki-gun, Saitama, JP",,,,kinosh000tom
JPCL,2019,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=440abdcc,Yusuke Kinoshita,25,R,R,"6' 0""",180,"Oct 10, 1993",,,,,kinosh000yus
JPCL,1954,Kokutetsu Swallows,https://www.baseball-reference.com/register/team.cgi?id=ee603017,Masahiro Kinoshita,23,R,R,"5' 8""",147,"Apr 30, 1931","Wakayama, JP",,,,kinosh001mas
JPPL,2006,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=df36d61c,Tatsuo Kinoshita,18,R,R,"6' 0""",192,"Nov 28, 1987","Nagoya, Aichi, JP",,,,kinosh001tat
JPPL,1983,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=adfea852,Tomohiro Kinoshita,25,L,L,"5' 10""",178,"Jul 31, 1957","Kobe, Hyogo, JP",,,,kinosh001tom
JPCL,1980,Hiroshima Toyo Carp,https://www.baseball-reference.com/register/team.cgi?id=72cc95ee,Sachio Kinugasa,33,R,R,"5' 9""",160,"Jan 18, 1947","Higashiyama Ward, Kyoto, JP",,,,kinuga000sac
JPCL,2008,Yakult Swallows,https://www.baseball-reference.com/register/team.cgi?id=a0d1f82f,Atsushi Kinugawa,27,R,R,"5' 10""",205,"Mar 20, 1981","Takarazuka, Hyogo, JP",,,,kinuga001ats
JPPL,1998,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=f247d9b9,Yukio Kinugawa,23,,,,,"Jul 29, 1974",,,,,kinuga001yuk
JPPL,1960,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=40a11a41,Takeyoshi Kiori,27,R,R,"5' 7""",138,"Apr 3, 1933","Hiroshima, JP",,,,kiori-000tak
JPCL,1972,Hanshin Tigers,https://www.baseball-reference.com/register/team.cgi?id=01549931,Shuichi Kira,23,R,R,"5' 11""",171,"Apr 23, 1949","Oita, JP",,,,kira--000shu
JPCL,2023,Hanshin Tigers,https://www.baseball-reference.com/register/team.cgi?id=6de2eb93,Takuma Kirishiki,24,L,L,"5' 10""",198,"Jun 20, 1999",,,,,kirish000tak
JPPL,1971,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=21a5b805,Takeshi Kiritoshi,27,L,L,"5' 7""",171,"Apr 21, 1944","Hyogo, JP",,,,kirito000tak
JPCL,1972,Hanshin Tigers,https://www.baseball-reference.com/register/team.cgi?id=01549931,Willie Kirkland,38,L,R,"6' 1""",206,"Feb 17, 1934","Siluria, AL, US",,,,kirkla002wil
JPPL,2012,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=6d763e9d,Hiroshi Kisanuki,32,R,R,"6' 1""",185,"May 17, 1980","Satsumasendai, Kagoshima, JP",,2012-04-08,2012-10-03,kisanu001hir
JPPL,2020,Saitama Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d42535a6,Junichiro Kishi,23,R,R,"5' 8""",171,"Dec 8, 1996",,,,,kishi-000jun
JPCL,1969,Taiyo Whales,https://www.baseball-reference.com/register/team.cgi?id=2719479d,Katsuyuki Kishi,22,R,R,"6' 0""",162,"May 2, 1947","Odawara, Kanagawa, JP",,,,kishi-000kat
JPPL,1958,Kintetsu Pearls,https://www.baseball-reference.com/register/team.cgi?id=7dced387,Teruo Kishi,18,R,R,"5' 8""",150,"Jan 11, 1940","Saitama, JP",,,,kishi-000ter
JPPL,2017,Tohoku Rakuten Golden Eagles,https://www.baseball-reference.com/register/team.cgi?id=b2390485,Takayuki Kishi,32,R,R,"5' 11""",150,"Dec 4, 1984","Sendai, Miyagi, JP",,2017-04-09,2017-10-10,kishi-001tak
JPCL,2023,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=62d8919a,Yukinori Kishida,26,R,R,"5' 9""",191,"Oct 10, 1996",,,,,kishid000yuk
JPPL,2017,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=cb5b5e33,Mamoru Kishida,36,R,R,"5' 11""",165,"May 10, 1981","Suita, Osaka, JP",,2017-04-29,2017-10-09,kishid001mam
JPPL,1992,Fukuoka Daiei Hawks,https://www.baseball-reference.com/register/team.cgi?id=1358e13b,Katsuya Kishigawa,27,R,R,"5' 11""",206,"Apr 24, 1965","Saga-gun, Saga, JP",,,,kishik000kat
JPPL,1997,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=8c564a54,Takatoshi Kishikawa,27,L,L,"6' 0""",165,"Jan 30, 1970","Ota Ward, Tokyo, JP",,,,kishik001tak
JPPL,1952,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=ed0ff5ff,Chiaki Kishimoto,19,L,L,"5' 7""",132,"Jan 24, 1933","Osaka, JP",,,,kishim000chi
JPCL,2008,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=e613d770,Hideki Kishimoto,25,R,R,"6' 2""",179,"Oct 18, 1982","Tsuzuki-gun, Kyoto, JP",,,,kishim001hid
JPPL,2017,Hokkaido Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=02d217d1,Ryosuke Kishisato,22,L,R,"5' 10""",165,"Apr 3, 1995",JP,,2017-04-14,2017-04-22,kishis000ryo
JPPL,2022,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=d5c0c304,Ryoto Kita,19,L,R,"5' 10""",187,"Oct 16, 2002",,,,,kita--000ryo
JPCL,2022,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=e1338b45,Ryusuke Kita,23,R,R,"5' 10""",182,"Aug 25, 1998",,,,,kita--000ryu
JPPL,1987,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8539004a,Yasuhiro Kita,26,R,R,"5' 10""",176,"Apr 23, 1961","Kawakita-gun, Ishikawa, JP",,,,kita--000yas
JPPL,2015,Hokkaido Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=aefdb9fe,Atsushi Kita,26,L,R,"6' 0""",183,"Nov 26, 1988","Komatsu, Ishikawa, JP",,2015-03-29,2015-04-24,kita--001ats
JPPL,2003,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b1d6d46,Takashi Kita,23,L,L,"6' 0""",171,"Feb 6, 1980","Ikoma-gun, Nara, JP",,,,kita--001tak
JPCL,1980,Hiroshima Toyo Carp,https://www.baseball-reference.com/register/team.cgi?id=72cc95ee,Manabu Kitabeppu,22,R,R,"5' 11""",187,"Jul 12, 1957","Soo-gun, Kagoshima, JP",,,,kitabe000man
JPCL,1954,Taiyo-Shochiku Robins,https://www.baseball-reference.com/register/team.cgi?id=742378f1,Hisaji Kitagawa,22,R,R,"5' 10""",165,"Dec 22, 1931","Shimane, JP",,,,kitaga000his
JPPL,1950,Nishitetsu Clippers,https://www.baseball-reference.com/register/team.cgi?id=4790d41c,Keitaro Kitagawa,25,R,R,"5' 10""",165,"May 14, 1925","Shimada, Shizuoka, JP",,,,kitaga000kei
JPPL,1971,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=208ad596,Koichi Kitagawa,30,L,L,"5' 10""",158,"Jun 29, 1941","Nishinomiya, Hyogo, JP",,,,kitaga000koi
JPPL,1954,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=f287d505,Nobuyoshi Kitagawa,20,R,R,"5' 10""",160,"Aug 13, 1933","Kumamoto, JP",,,,kitaga000nob
JPPL,2015,Tohoku Rakuten Golden Eagles,https://www.baseball-reference.com/register/team.cgi?id=040f1b82,Rintaro Kitagawa,22,L,R,"6' 0""",176,"Jun 21, 1993",,,2015-08-14,2015-10-06,kitaga000rin
JPCL,1996,Yakult Swallows,https://www.baseball-reference.com/register/team.cgi?id=7e0725a3,Tetsuya Kitagawa,23,R,R,"5' 11""",180,"Apr 18, 1973","Edogawa Ward, Tokyo, JP",,,,kitaga000tet
JPCL,1963,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=8b2341d9,Yoshio Kitagawa,30,R,R,"5' 11""",150,"Oct 18, 1932","Sahara, Chiba, JP",,,,kitaga000yos
JPPL,1976,Lotte Orions,https://www.baseball-reference.com/register/team.cgi?id=fd024763,Yuji Kitagawa,23,R,R,"6' 0""",167,"Jun 14, 1953","Tokushima, JP",,,,kitaga000yuj
JPPL,2006,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=9600bb21,Hirotoshi Kitagawa,34,R,R,"5' 11""",203,"May 27, 1972","Itami, Hyogo, JP",,,,kitaga001hir
JPPL,2003,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=80b5e972,Tomonori Kitagawa,25,R,R,"5' 11""",167,"Jan 9, 1978","Sayama, Saitama, JP",,,,kitaga001tom
JPCL,2005,Yokohama Bay Stars,https://www.baseball-reference.com/register/team.cgi?id=c17f4a1d,Toshiyuki Kitagawa,26,L,R,"5' 9""",163,"Jan 8, 1979","Higashi Osaka, Osaka, JP",,,,kitaga001tos
JPPL,1957,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=003edc31,Kei Kitahara,21,R,L,"5' 7""",151,"Feb 28, 1936","Kurume, Fukuoka, JP",,,,kitaha000sat
JPPL,1992,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=467bffb3,Taiji Kitahara,21,R,R,"6' 2""",182,"Apr 30, 1971","Kawaguchi, Saitama, JP",,,,kitaha000tai
JPCL,1954,Kokutetsu Swallows,https://www.baseball-reference.com/register/team.cgi?id=ee603017,Toshio Kitabatake,21,R,R,"5' 7""",143,"Feb 24, 1933","Akashi, Hyogo, JP",,,,kitaha000tos
JPCL,1966,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=a05137a5,Fujio Kitakado,19,R,R,"5' 8""",167,"May 17, 1947","Nagoya, Aichi, JP",,,,kitaka000fuj
JPPL,1954,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=9145a986,Chikao Kitamura,19,R,R,"5' 9""",150,"Aug 24, 1934","Kagawa, JP",,,,kitamu000chi
JPCL,2023,Yakult Swallows,https://www.baseball-reference.com/register/team.cgi?id=37d36ccf,Keigo Kitamura,22,R,R,"5' 11""",198,"Dec 18, 2000",,,,,kitamu000kei
JPPL,1952,Mainichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=eeb485be,Shoji Kitamura,24,,,,,"Jun 2, 1928",,,,,kitamu000sho
JPPL,1950,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=1de6e9e6,Shuichi Kitamura,22,R,R,"5' 6""",140,"Feb 2, 1928","Kyoto, JP",,,,kitamu000shu
JPCL,2023,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=62d8919a,Takumi Kitamura,27,R,R,"5' 11""",187,"Aug 29, 1995",JP,,,,kitamu000tak
JPPL,1989,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=87623795,Terufumi Kitamura,32,R,R,"5' 9""",167,"Jan 7, 1957","Yokohama, Kanagawa, JP",,,,kitamu000ter
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Shunsuke Kitamura,28,L,R,"5' 8""",154,"Jul 6, 1967","Higashiyama Ward, Tokyo, JP",,,,kitamu001shu
