League_Code,Year,Team_Name,Team_Link,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,id
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Shigetoshi Hasegawa,27,4,6,0.4,5.34,18,16,2,2,0,1,87.2,109,60,52,12,40,1,55,2,0,0,406,1.7,11.2,1.2,4.1,5.6,1.38,,hasega001shi
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Masafumi Hirai,21,5,3,0.625,2.5,34,0,16,0,0,6,50.1,34,16,14,3,19,1,50,1,0,1,202,1.053,6.1,0.5,3.4,8.9,2.63,,hirai-001mas
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Nobuyuki Hoshino*,30,13,5,0.722,3.05,22,22,0,6,3,0,144.2,137,54,49,9,38,1,85,1,0,2,594,1.21,8.5,0.6,2.4,5.3,2.24,,hoshin001nob
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Takahide Ito,32,0,2,0,4.42,3,3,0,0,0,0,18.1,13,9,9,2,6,0,18,1,0,2,75,1.036,6.4,1,2.9,8.8,3,,itoh--002tak
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Hisanori Iwasaki,28,1,0,1,3.57,16,0,9,0,0,0,22.2,16,13,9,1,13,1,15,2,0,3,94,1.279,6.4,0.4,5.2,6,1.15,,iwasak000his
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Masahiko Kaneda*,27,6,8,0.429,4.23,29,19,3,2,0,0,121.1,128,66,57,9,45,0,83,2,0,1,527,1.426,9.5,0.7,3.3,6.2,1.84,,kaneda001mas
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Yuichi Kiyohara*,27,0,0,,4.26,12,0,1,0,0,0,12.2,12,6,6,2,1,0,9,0,0,0,48,1.026,8.5,1.4,0.7,6.4,9,,kiyoha000yui
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Hiroshi Kobayashi,25,8,7,0.533,4.08,37,12,6,2,0,0,121.1,124,61,55,7,66,2,68,4,0,6,542,1.566,9.2,0.5,4.9,5,1.03,,kobaya002hir
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Rui Makino,21,2,1,0.667,3.74,7,3,0,0,0,0,21.2,19,10,9,3,13,2,14,1,1,0,98,1.477,7.9,1.2,5.4,5.8,1.08,,makino001rui
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Yoshitaka Mizuo*,28,0,0,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,mizuo-001yos
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Koji Noda,28,8,7,0.533,3.14,27,27,0,7,2,0,180.1,170,70,63,18,70,3,144,7,0,10,772,1.331,8.5,0.9,3.5,7.2,2.06,,noda--001koj
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Takahito Nomura*,27,4,1,0.8,2.86,54,0,16,0,0,5,69.1,55,28,22,2,28,2,84,1,0,5,287,1.197,7.1,0.3,3.6,10.9,3,,nomura001tak
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Yoshinori Sato,41,1,2,0.333,5.58,10,6,2,0,0,0,30.2,39,21,19,3,21,0,21,2,0,4,151,1.957,11.4,0.9,6.2,6.2,1,,sato--003yos
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Taira Suzuki,26,7,2,0.778,2.43,55,0,33,0,0,19,74,55,21,20,5,30,2,58,3,0,1,304,1.149,6.7,0.6,3.6,7.1,1.93,,suzuki001tai
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Koichi Takahashi,24,0,2,0,4.88,8,2,3,0,0,0,24,25,14,13,2,8,0,16,1,0,0,104,1.375,9.4,0.8,3,6,2,,takaha001koi
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Jiro Toyoda,29,2,1,0.667,3.4,12,5,2,1,0,0,42.1,43,19,16,3,14,0,29,2,0,1,181,1.346,9.1,0.6,3,6.2,2.07,,toyoda000jir
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Takashi Watabe*,23,0,0,,4.1,19,0,8,0,0,0,26.1,24,12,12,3,8,0,15,0,0,1,109,1.215,8.2,1,2.7,5.1,1.88,,watabe000tak
JPPL,1996,Orix Blue Wave,https://www.baseball-reference.com/register/team.cgi?id=3cf0aff2,Nobuhiko Watanabe,30,3,1,0.75,2.84,29,0,7,0,0,1,38,28,13,12,2,14,0,32,0,0,0,152,1.105,6.6,0.5,3.3,7.6,2.29,,watana000nob
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Norihiro Akimura,30,0,0,,7.2,4,0,4,0,0,0,5,7,4,4,2,5,0,1,1,0,1,28,2.4,12.6,3.6,9,1.8,0.2,,akimur000nor
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Kip Gross,31,17,9,0.654,3.62,28,28,0,8,1,0,193.2,201,92,78,18,53,3,79,9,1,9,827,1.312,9.3,0.8,2.5,3.7,1.49,,gross-001kip
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Shoji Hiramatsu,24,0,1,0,3.89,20,1,11,0,0,0,41.2,38,23,18,9,20,0,24,1,0,3,181,1.392,8.2,1.9,4.3,5.2,1.2,,hirama000sho
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Masaru Imazeki,25,11,9,0.55,3.22,24,21,1,10,3,0,159.1,123,60,57,23,49,3,122,6,0,3,644,1.079,6.9,1.3,2.8,6.9,2.49,,imazek001mas
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Tsutomu Iwamoto,25,10,9,0.526,3.99,27,27,0,4,1,0,176,160,80,78,15,51,1,144,6,0,5,730,1.199,8.2,0.8,2.6,7.4,2.82,,iwamot001tsu
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Akihito Kaneishi,35,1,1,0.5,2.1,28,0,27,0,0,20,25.2,32,6,6,1,6,1,12,1,0,0,111,1.481,11.2,0.4,2.1,4.2,2,,kaneis000aki
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Junji Kuroki,22,0,0,,5.4,2,0,2,0,0,0,5,4,3,3,2,2,0,4,0,0,1,20,1.2,7.2,3.6,3.6,7.2,2,,kuroki001jun
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Hiroshi Nagatomi,35,1,2,0.333,5.36,26,1,8,0,0,2,40.1,41,26,24,5,19,1,32,1,0,2,173,1.488,9.1,1.1,4.2,7.1,1.68,,nagado001hir
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Yukihiro Nishizaki,32,14,7,0.667,2.87,26,26,0,5,1,0,181.2,152,63,58,17,89,2,139,4,0,10,769,1.327,7.5,0.8,4.4,6.9,1.56,,nishiz001yuk
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Hiroshi Numata,23,0,0,,3.6,3,1,2,0,0,0,5,4,3,2,0,3,0,1,1,0,0,22,1.4,7.2,0,5.4,1.8,0.33,,numata000hir
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Mitsujiro Sakai*,28,0,1,0,2.89,7,0,1,0,0,0,9.1,10,3,3,0,5,0,4,0,0,1,41,1.607,9.6,0,4.8,3.9,0.8,,sakai-000mit
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Hiroyuki Sekine,24,0,1,0,2.33,9,1,2,0,0,0,19.1,17,5,5,0,12,1,15,0,0,1,81,1.5,7.9,0,5.6,7,1.25,,sekine001hir
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Hiroshi Shibakusa,26,7,9,0.438,3.81,26,22,0,3,0,0,130,134,62,55,17,49,1,67,3,0,7,560,1.408,9.3,1.2,3.4,4.6,1.37,,shibak001hir
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Takeshi Shimazaki,29,5,4,0.556,2.31,54,0,25,0,0,14,97.1,85,30,25,4,19,5,58,1,0,0,385,1.068,7.9,0.4,1.8,5.4,3.05,,shimaz001tak
JPPL,1996,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8016b4ed,Tsuyoshi Shimoyanagi*,28,1,2,0.333,3.77,23,0,12,0,0,2,43,32,19,18,3,20,3,39,0,0,0,181,1.209,6.7,0.6,4.2,8.2,1.95,,shimoy001tsu
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Takehiro Hashimoto*,31,0,0,,2.27,55,0,9,0,0,8,35.2,29,9,9,3,21,3,24,0,0,1,149,1.402,7.3,0.8,5.3,6.1,1.14,,hashim001tak
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Takashi Ishii,24,3,6,0.333,2.93,35,7,18,0,0,4,95.1,100,41,31,4,39,0,74,3,0,4,414,1.458,9.4,0.4,3.7,7,1.9,,ishii-002tak
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Takehiro Ishii,31,0,1,0,3.51,5,4,0,0,0,0,25.2,21,11,10,4,10,0,10,1,0,0,108,1.208,7.4,1.4,3.5,3.5,1,,ishii-004tak
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Yoshitaka Katori,39,7,3,0.7,2.4,47,0,13,0,0,2,75,69,22,20,3,28,6,48,4,0,1,317,1.293,8.3,0.4,3.4,5.8,1.71,,katori000yos
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Fumiya Nishiguchi,23,16,10,0.615,3.17,31,27,2,13,2,1,210.1,172,77,74,21,74,1,173,2,0,4,849,1.17,7.4,0.9,3.2,7.4,2.34,,nishig001fum
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Kazuyoshi Ono*,30,0,1,0,3.65,7,1,3,0,0,0,12.1,9,8,5,4,10,1,14,0,0,1,57,1.541,6.6,2.9,7.3,10.2,1.4,,ono---001kaz
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Hiroshi Shintani,31,11,5,0.688,3.41,30,21,9,2,2,2,145,144,64,55,23,56,2,121,5,0,3,632,1.379,8.9,1.4,3.5,7.5,2.16,,shinta001hir
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Tetsuya Shiozaki,27,8,6,0.571,2.84,43,4,27,0,0,11,85.2,61,28,27,10,24,4,72,7,1,0,337,0.992,6.4,1.1,2.5,7.6,3,,shioza001tet
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Kento Sugiyama*,27,0,2,0,4.39,36,0,6,0,0,3,26.2,20,13,13,4,14,0,32,2,0,1,112,1.275,6.8,1.4,4.7,10.8,2.29,,sugiya001ken
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Tetsu Suzuki,32,0,0,,2.08,4,0,2,0,0,0,4.1,6,4,1,0,4,0,4,0,0,0,23,2.308,12.5,0,8.3,8.3,1,,suzuki000tet
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Jun Takeshita*,26,2,3,0.4,5.53,31,6,5,1,0,0,71.2,63,45,44,11,36,1,73,1,0,9,310,1.381,7.9,1.4,4.5,9.2,2.03,,takesh001jun
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Hirofumi Teramoto,23,0,0,,3,7,0,6,0,0,1,12,7,4,4,1,7,0,13,0,0,0,50,1.167,5.3,0.8,5.3,9.8,1.86,,teramo000hir
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Hisaki Tomioka*,23,0,0,,9,1,0,1,0,0,0,3,4,3,3,1,2,0,1,0,0,1,15,2,12,3,6,3,0.5,,tomiok002his
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Kiyoshi Toyoda,25,5,5,0.5,3.08,18,14,2,3,1,0,108,101,40,37,17,25,3,88,3,0,2,441,1.167,8.4,1.4,2.1,7.3,3.52,,toyoda001kiy
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Hisanobu Watanabe,30,6,9,0.4,4.56,20,19,1,5,2,0,118.1,116,66,60,19,50,0,92,3,0,6,509,1.403,8.8,1.4,3.8,7,1.84,,watana001his
JPPL,1996,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=d5843a64,Hisanori Yokota,28,4,7,0.364,3.58,17,16,0,0,0,0,88,73,38,35,8,55,0,63,4,0,6,387,1.455,7.5,0.8,5.6,6.4,1.15,,yokota001his
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Motoyuki Akahori,26,9,4,0.692,2.09,44,0,39,0,0,21,73.1,67,19,17,5,25,4,67,3,0,5,311,1.255,8.2,0.6,3.1,8.2,2.68,,akahor001mot
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Luis Aquino,32,11,9,0.55,4.04,25,25,0,2,1,0,156,158,75,70,22,55,1,58,4,0,3,658,1.365,9.1,1.3,3.2,3.3,1.05,,aquino001lui
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Masaaki Esaka*,28,0,0,,8.22,4,1,0,0,0,0,7.2,11,9,7,1,8,1,7,1,0,1,43,2.478,12.9,1.2,9.4,8.2,0.88,,esaka-000mas
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Koichi Ikeue,29,3,0,1,4.65,39,1,10,0,0,1,60,52,31,31,8,34,0,50,2,0,4,261,1.433,7.8,1.2,5.1,7.5,1.47,,ikeue-001koi
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Eiji Kiyokawa*,34,1,1,0.5,3.18,44,0,3,0,0,0,17,15,6,6,1,5,0,18,0,0,0,71,1.176,7.9,0.5,2.6,9.5,3.6,,kiyoka000eij
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Isao Koda,31,0,3,0,9.64,4,4,0,0,0,0,14,27,15,15,5,4,0,6,0,0,0,72,2.214,17.4,3.2,2.6,3.9,1.5,,kohda-001isa
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Hideo Koike*,27,3,5,0.375,5.94,21,10,0,1,0,0,69.2,69,48,46,17,30,1,54,1,1,5,300,1.421,8.9,2.2,3.9,7,1.8,,koike-001hid
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Yasuo Kubo,38,1,0,1,2.32,21,0,7,0,0,0,31,30,8,8,3,6,1,23,1,0,0,124,1.161,8.7,0.9,1.7,6.7,3.83,,kubo--002yas
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Ryujiro Matsutani,31,1,0,1,9,7,0,2,0,0,0,13,12,13,13,4,7,0,10,1,0,2,58,1.462,8.3,2.8,4.8,6.9,1.43,,matsut000ryu
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Shinichiro Minami,23,0,0,,18,1,0,1,0,0,0,1,3,2,2,0,1,0,0,0,0,0,7,4,27,0,9,0,0,,minami001shi
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Shinichi Nishikawa*,29,0,0,,2.63,12,0,4,0,0,0,24,25,9,7,0,15,0,15,0,0,3,109,1.667,9.4,0,5.6,5.6,1,,nishik001shi
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Tatsuji Nishimura,27,0,1,0,7.62,4,3,1,0,0,0,13,16,11,11,0,8,0,6,0,0,1,61,1.846,11.1,0,5.5,4.2,0.75,,nishim001tat
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Katsuhito Osaka,28,0,0,,0,1,0,1,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,2,1.5,13.5,0,0,0,,,osaka-000kat
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Hiroki Sakai,24,8,15,0.348,3.3,26,26,0,6,1,0,183,151,78,67,17,84,5,149,6,2,17,772,1.284,7.4,0.8,4.1,7.3,1.77,,sakai-001hir
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Shigeki Sano,28,5,3,0.625,2.95,57,0,30,0,0,7,97.2,96,38,32,12,22,2,75,4,0,0,407,1.208,8.8,1.1,2,6.9,3.41,,sano--001shi
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Yoshihiro Seo,22,1,2,0.333,3.67,18,7,5,1,1,0,49,45,24,20,5,27,0,40,3,0,3,216,1.469,8.3,0.9,5,7.3,1.48,,seo---002yos
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Kazuya Shibata*,28,0,0,,5.06,10,0,2,0,0,0,5.1,13,5,3,1,2,0,4,1,0,0,31,2.813,21.9,1.7,3.4,6.8,2,,shibat001kaz
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Ayahito Shinada,22,4,2,0.667,5.04,9,9,0,0,0,0,44.2,53,28,25,7,21,1,32,3,0,3,212,1.657,10.7,1.4,4.2,6.4,1.52,,shinad001aya
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Hiroshi Takamura,26,7,8,0.467,3.94,18,18,0,7,2,0,125.2,112,61,55,10,50,3,82,1,0,4,525,1.289,8,0.7,3.6,5.9,1.64,,takamu001hir
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Masao Teramae,24,0,1,0,5.68,2,1,1,0,0,0,6.1,5,4,4,1,1,0,8,0,0,1,25,0.947,7.1,1.4,1.4,11.4,8,,terama000mas
JPPL,1996,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=ade402a4,Shintaro Yamasaki,30,8,13,0.381,4.15,25,25,0,7,3,0,167,159,87,77,19,73,3,107,4,1,6,722,1.389,8.6,1,3.9,5.8,1.47,,yamasa001shi
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Kotaro Azuse*,29,0,0,,10.8,4,0,2,0,0,0,3.1,7,4,4,2,3,0,1,0,0,0,19,3,18.9,5.4,8.1,2.7,0.33,,azuse-000kot
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Yasuhiro Enoki,24,1,3,0.25,3.92,17,4,5,0,0,0,39,44,20,17,8,12,1,20,4,0,0,170,1.436,10.2,1.8,2.8,4.6,1.67,,enoki-000yas
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Toshiyuki Goto,25,0,0,,5.4,2,0,1,0,0,0,1.2,2,1,1,0,0,0,0,0,0,0,7,1.2,10.8,0,0,0,,,gotoh-001tos
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Eric Hillman*,30,14,9,0.609,2.4,29,29,0,11,3,0,213.1,179,66,57,12,46,1,119,15,0,3,861,1.055,7.6,0.5,1.9,5,2.59,,hillma001joh
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Hideki Irabu,27,12,6,0.667,2.4,23,23,0,3,0,0,157.1,108,56,42,7,59,0,167,3,4,7,639,1.061,6.2,0.4,3.4,9.6,2.83,,irabu-001hid
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Yasuyuki Kawamoto*,28,4,5,0.444,2.78,50,0,24,0,0,10,64.2,47,20,20,6,23,1,76,0,0,2,254,1.082,6.5,0.8,3.2,10.6,3.3,,kawamo001yas
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Takatoshi Kishikawa*,26,0,0,,4.76,14,0,4,0,0,0,11.1,11,6,6,0,2,0,10,0,0,1,47,1.147,8.7,0,1.6,7.9,5,,kishik001tak
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Akinori Kobayashi,28,0,0,,5.4,3,0,1,0,0,0,6.2,9,4,4,1,2,0,1,0,0,1,30,1.65,12.2,1.4,2.7,1.4,0.5,,kobaya000aki
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Satoru Komiyama,30,8,13,0.381,4.54,25,25,0,2,0,0,154.2,192,86,78,17,39,2,90,5,0,4,680,1.494,11.2,1,2.3,5.2,2.31,,komiya001sat
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Tomohiro Kuroki,22,8,7,0.533,3.58,28,19,5,0,0,0,135.2,119,58,54,11,57,3,90,4,0,4,576,1.297,7.9,0.7,3.8,6,1.58,,kuroki001tom
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Junichiro Muto,27,0,1,0,5.03,26,4,8,0,0,0,59,70,35,33,7,15,0,48,2,0,1,253,1.441,10.7,1.1,2.3,7.3,3.2,,muto--001jun
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Naoyuki Naito,27,0,0,,6.3,4,2,2,0,0,0,10,12,7,7,1,4,0,8,1,0,0,45,1.6,10.8,0.9,3.6,7.2,2,,naito-000nao
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Koji Nakada*,32,0,1,0,6.23,9,2,5,0,0,0,17.1,16,12,12,7,6,0,19,0,0,1,72,1.269,8.3,3.6,3.1,9.9,3.17,,nakada000koj
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Toshihide Narimoto,27,7,6,0.538,3.32,45,0,39,0,0,23,62.1,56,26,23,8,15,5,64,1,0,2,259,1.139,8.1,1.2,2.2,9.2,4.27,,narimo001tos
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Kazumi Sonokawa*,33,0,7,0,5.45,23,11,2,1,0,0,76,89,48,46,11,22,1,49,2,0,5,336,1.461,10.5,1.3,2.6,5.8,2.23,,sonoka000kaz
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Hiroshi Tsuno,30,0,0,,6.55,12,0,0,0,0,0,11,12,8,8,3,4,0,7,0,0,0,47,1.455,9.8,2.5,3.3,5.7,1.75,,tsuno-000hir
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Takashi Wada,25,0,0,,0,4,0,3,0,0,0,5.1,5,1,0,0,1,0,7,0,0,1,21,1.125,8.4,0,1.7,11.8,7,,wada--001tak
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Yasuhiko Yabuta,23,4,6,0.4,3.62,18,11,3,1,1,0,92,79,39,37,8,29,0,58,3,0,5,376,1.174,7.7,0.8,2.8,5.7,2,,yabuta001yas
JPPL,1996,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=9b6cee64,Atsushi Yoshida,25,2,3,0.4,5.52,27,0,8,0,0,0,45.2,44,28,28,6,31,0,29,0,0,1,203,1.642,8.7,1.2,6.1,5.7,0.94,,yoshid001ats
JPPL,1996,Fukuoka Daiei Hawks,https://www.baseball-reference.com/register/team.cgi?id=0016aab9,Masashi Arikura,29,0,2,0,5.52,11,0,4,0,0,1,14.2,15,11,9,2,5,0,14,0,0,0,64,1.364,9.2,1.2,3.1,8.6,2.8,,arikur000mas
JPPL,1996,Fukuoka Daiei Hawks,https://www.baseball-reference.com/register/team.cgi?id=0016aab9,Rod Bolton,27,2,2,0.5,6.39,11,6,2,0,0,0,31,36,22,22,3,23,0,18,1,0,3,148,1.903,10.5,0.9,6.7,5.2,0.78,,bolton001rod
JPPL,1996,Fukuoka Daiei Hawks,https://www.baseball-reference.com/register/team.cgi?id=0016aab9,Masao Fujii,27,1,3,0.25,5.18,11,6,2,0,0,0,41.2,56,25,24,2,11,0,26,1,0,2,188,1.608,12.1,0.4,2.4,5.6,2.36,,fujii-002mas
JPPL,1996,Fukuoka Daiei Hawks,https://www.baseball-reference.com/register/team.cgi?id=0016aab9,Yasuji Hamagiwa*,25,1,1,0.5,4.2,5,2,1,0,0,1,15,14,9,7,1,6,0,13,1,0,4,65,1.333,8.4,0.6,3.6,7.8,2.17,,hamagi000yas
JPPL,1996,Fukuoka Daiei Hawks,https://www.baseball-reference.com/register/team.cgi?id=0016aab9,Hiroaki Hirota,32,0,0,,9,2,0,2,0,0,0,1,1,1,1,1,0,0,0,0,0,1,4,1,9,9,0,0,,,hirota001hir
JPPL,1996,Fukuoka Daiei Hawks,https://www.baseball-reference.com/register/team.cgi?id=0016aab9,Keiji Kimura,30,1,6,0.143,5.51,30,4,11,1,0,5,65.1,73,40,40,7,23,1,55,0,0,3,290,1.469,10.1,1,3.2,7.6,2.39,,kimura000kei
JPPL,1996,Fukuoka Daiei Hawks,https://www.baseball-reference.com/register/team.cgi?id=0016aab9,Kimiyasu Kudo*,33,8,15,0.348,3.51,29,29,0,9,1,0,202.2,207,94,79,17,70,2,178,1,0,6,867,1.367,9.2,0.8,3.1,7.9,2.54,,kudoh-001kim
JPPL,1996,Fukuoka Daiei Hawks,https://www.baseball-reference.com/register/team.cgi?id=0016aab9,Shinji Matsuda*,28,0,0,,19.29,3,0,0,0,0,0,2.1,6,5,5,1,2,0,1,0,0,0,15,3.429,23.1,3.9,7.7,3.9,0.5,,matsud001shi
